"","pNet cash flow due to net changes in cash and cash equivalents","pDepreciation (net of transfer from revaluation reserves)","pAmortisation","pCurrent assets","pCurrent liabilities","pShort term bank borrowings","pCorporate tax","cNet cash flow due to net changes in cash and cash equivalents","cDepreciation (net of transfer from revaluation reserves)","cAmortisation","cCurrent assets","cCurrent liabilities","cShort term bank borrowings","cCorporate tax","cAdjusted Closing Price ","fAdjusted Closing Price ","nACCRUALS","nReturns","nNET PROFIT","Accrual"
"Mindtree Ltd.",127,695,0,5568,2478,532,672,623,624,0,7105,2271,136,887,479.82,1049.95,1691,1.188216414,0,443
"Havells India Ltd.",865.3,446.6,0,9579.3,7253.4,278.1,748.5,1103,578.8,0,10536.3,6589.8,0,918.7,121.69,239.59,1853.8,0.968855288,0,696.2
"South Indian Bank Ltd.",1744.1,312,409.1,30838.1,9123,0,1972.6,16953.6,398.9,335.9,48333.7,9805.9,0,1829.5,22.5,30.15,2194.9,0.34,0,725.299999999999
"Page Industries Ltd.",5.4,106.2,0,2234.4,1107.8,422.3,403,14.3,113.5,0,3019,1302.5,588.7,509.7,4375.1,8035.2,967.6,0.836575164,0,740.6
"Mcleod Russel India Ltd.",-6.3,294,0,2843.4,1350.2,1040.1,515,4.9,322.1,0,3564.7,1326.3,1427.6,496.5,286.5,281.25,1425.1,-0.01832460733,0,780.9
"Arvind Ltd.",34.9,1305.1,0,13468.9,6761.2,8574.5,0,1139.9,1504.9,0,16844,7528.9,9639.9,0,78.8,230.65,4072.7,1.927030457,0,1062.9
"Tech Mahindra Ltd.",-571,1505,0,16854,15191,5266,1700,1356,1570,0,19747,13764,5195,2030,311.57,537.65,4222,0.7256154315,0,1082
"Mahindra & Mahindra Ltd.",6252.7,5761.4,0,60584.9,58312.8,1.7,7034.7,278.5,7108.1,0,70194.5,67857.6,0,9332.1,911.4,1201.65,15442.8,0.3184660961,0,1226.59999999999
"Divi'S Laboratories Ltd.",-14,620.3,0,12144.7,2955.7,502,1327.5,-24.2,769,0,14068.2,2872,305.1,1530,468.35,737.98,2792,0.5757019323,0,1254
"Amara Raja Batteries Ltd.",1825.3,464.7,0,8249,1998.5,56,1030.2,1799.9,586.2,0,10925.2,3161,98.6,1378,239.85,488.55,2515.7,1.036898061,0,1343.3
"Aurobindo Pharma Ltd.",-1082,1363.5,0,28585.1,6382.7,12759.6,48.7,1005.6,1624.6,0,35251.2,9622.8,13486.4,1265,84.65,356.1,4906.1,3.206733609,0,1656.9
"Ashok Leyland Ltd.",-1513.3,3526.7,129.8,38997.1,36182.2,1017.5,0,-190.4,3819.4,150.4,36903,33716.2,7669.9,0,13.55,34.15,9671.2,1.520295203,0,1731.6
"Oil India Ltd.",-8345.6,5142,0,132928.6,23085.8,0,17272.6,11757.5,5671.4,0,146048.5,17096,10218.6,15519.9,517.2,565,13143.9,0.09242072699,0,1801.1
"Aditya Birla Nuvo Ltd.",3477,2030.6,0,39633.4,16249.6,23222.2,1229.8,-3136.3,2191.8,0,44494.1,20274.8,19888.9,1163.8,1165.25,1476.3,6241.3,0.2669384252,0,1857.7
"Petronet L N G Ltd.",8264.2,1841.9,191.2,30504,18235.2,998.1,4800,2846.2,1866,59,40836.1,29780.3,0,5430,115.75,182.65,5761.9,0.5779697624,0,1911.9
"Britannia Industries Ltd.",13.1,473.2,0,4767.1,4680.2,0,637.1,277.2,570.8,0,4809.4,4765.2,2501.7,928.5,699.1,1148.4,3057.1,0.6426834502,0,1915.5
"Indiabulls Real Estate Ltd.",-46,32,0,1192.6,242,0,66.4,-132.9,33.3,0,2691,427.5,0,696.6,63.55,78.65,2063.3,0.2376081825,0,1996.7
"Exide Industries Ltd.",429.3,1006.8,0,14303,7867.1,0,1733.7,171.2,1134.8,0,17565.7,8300.5,0,2109.3,123.1,164.45,4597.8,0.3359057677,0,2328.2
"Engineers India Ltd.",-585.8,194.5,0,26005.7,13466.4,0,3202.6,22.7,108.7,0,27094.4,11120,0,2844.6,137.1,279.8,2577.3,1.040846098,0,2359.9
"United Breweries Ltd.",591.8,1486.6,0,13485.6,8276.9,5502,606.2,-642.1,1702.4,0,15829.8,7705,5176.9,874.2,690.2,705.1,5795.3,0.02158794552,0,2390.5
"Tata Global Beverages Ltd.",101,120.4,0,6035.3,3239.7,418.2,761.4,25.5,163.9,0,8395.1,3381,1835.7,770,159.7,153.5,3884,-0.03882279274,0,3556.2
"Lupin Ltd.",-176.3,1097.7,0,29152.3,8799.4,8577.3,2018.6,12.8,1221.5,0,36414.2,9863.6,5260.9,4181.6,871.15,1181.75,6076.7,0.3565402055,0,3633.7
