"","pNet cash flow due to net changes in cash and cash equivalents","pDepreciation (net of transfer from revaluation reserves)","pAmortisation","pCurrent assets","pCurrent liabilities","pShort term bank borrowings","pCorporate tax","cNet cash flow due to net changes in cash and cash equivalents","cDepreciation (net of transfer from revaluation reserves)","cAmortisation","cCurrent assets","cCurrent liabilities","cShort term bank borrowings","cCorporate tax","cAdjusted Closing Price ","fAdjusted Closing Price ","nACCRUALS","nRETUERNS","nPROFIT","Accrual"
"Idea Cellular Ltd.",110.6,19730.2,0,16897.2,52909,8485,1580.9,-12535.8,25627.8,0,15843.3,52224.1,7647.8,0,79.95,168.95,-15768.5,1.113195747,0,-15768.5
"G A I L (India) Ltd.",-20401.6,6502.9,0,51092.7,47543.7,0,14310,-12000.2,7893.7,0,64288.5,59838.5,0,14284.7,353.85,301.2,-15419.4,-0.148791861,0,-15419.4
"Tata Steel Ltd.",9051.3,11434,0,86716,74478.5,1491.3,28570,-2019.9,11503.6,0,98002.5,101450.9,0,31151.1,414.45,215.7,-15028.5,-0.4795512125,0,-15028.5
"Mahindra & Mahindra Ltd.",-11366.4,4138.6,0,40990.7,47860,72.2,7616.7,6252.7,5761.4,0,60584.9,58312.8,1.7,7034.7,700.85,911.4,-14891.6,0.3004209175,0,-14891.6
"Hindustan Unilever Ltd.",-6783.2,2208.3,0,55513.4,57828.4,0,5888.2,6947.9,2182.5,0,52003.6,54994.2,0,7845.2,467.35,612.55,-14632.2,0.3106879213,0,-14632.2
"H D F C Bank Ltd.",-2735.7,4974,0,405932.5,266053.9,7050.6,22374.6,-87562.7,5425.2,0,380737.1,339132.7,8693.3,26062.5,587.75,609.75,-13541.8,0.03743088048,0,-13541.8
"Syndicate Bank",-7682,709.6,0,132046.6,39437.8,7677.6,2413.1,19186.2,660.4,2035.5,149447.1,42127,7718.2,3695.2,98.1,87.9,-13530.1,-0.1039755352,0,-13530.1
"Indiabulls Real Estate Ltd.",-7377.2,30.4,0,1431.7,248.4,4700,223.2,-46,32,0,1192.6,242,0,66.4,55.85,63.55,-12452.7,0.1378692927,0,-12452.7
"Bharat Petroleum Corpn. Ltd.",366.7,16554,0,238588.3,195058.9,31115.5,6102.4,5998.2,18848.7,0,332918.2,245412.1,4101.1,2800,363.3,323.75,-10820.3,-0.1088631985,0,-10820.3
"Andhra Bank",-7087.1,1074.4,1266.6,115164.9,21036.9,0,3155.4,-18133.6,939,1266.6,99133.6,24772.7,0,4600,101.65,64.45,-9481.6,-0.3659616331,0,-9481.59999999999
"Jaiprakash Power Ventures Ltd.",-3845.5,949.1,0,22722.1,7759,508.2,0,-13084.3,2300.5,0,12584.5,12556.2,5.1,0,31.75,10.05,-8499.6,-0.6834645669,0,-8499.6
"Ashok Leyland Ltd.",-3399.8,2700.1,15.5,37728.4,31227.9,0,0,-1513.3,3526.7,129.8,38997.1,36182.2,1017.5,0,22.3,13.55,-8211.1,-0.3923766816,0,-8211.1
"Ultratech Cement Ltd.",610.6,7601.4,0,27160.3,28803.4,3144.3,5078.3,447.9,8866.9,0,30010.2,33739.9,1521.5,9489.7,1639.6,1836.65,-8002.2,0.1201817516,0,-8002.2
"Adani Enterprises Ltd.",-8027.1,132.7,0,17071.5,8874.7,0,0,10.1,299,0,30103.9,24374.7,3754.2,0,180.9,175,-7049.6,-0.03261470426,0,-7049.6
"Cipla Ltd.",231.4,2288.6,0,37211.9,9319.1,4668.1,2277,-289.2,2610.8,0,36793.5,9229.7,349.5,2775,338.6,400.3,-6239.8,0.1822209096,0,-6239.8
"C E S C Ltd.",-2809.5,2673.7,7.2,17421.2,30068.7,4897.3,1258.5,210,2894.8,7.2,22101,34610.2,4327.6,1390,297.95,321.1,-6221.4,0.07769760027,0,-6221.4
"S K S Microfinance Ltd.",-3883.3,161.5,0,6052.1,2226.7,3724.9,725,629.9,100.2,0,7107.2,1523.7,1309.1,0,86.9,108.55,-5996.1,0.249136939,0,-5996.1
