"","pNet cash flow due to net changes in cash and cash equivalents","pDepreciation (net of transfer from revaluation reserves)","pAmortisation","pCurrent assets","pCurrent liabilities","pShort term bank borrowings","pCorporate tax","cNet cash flow due to net changes in cash and cash equivalents","cDepreciation (net of transfer from revaluation reserves)","cAmortisation","cCurrent assets","cCurrent liabilities","cShort term bank borrowings","cCorporate tax","cAdjusted Closing Price ","fAdjusted Closing Price ","nACCRUALS","nReturn","nNET PROFIT","Accrual"
"Bharat Heavy Electricals Ltd.",10600.7,9533.9,0,623928.9,292425.3,12860,30420,41408.8,9829.2,0,655601.6,266849.4,25500,18999.5,228.35,278.35,17830.8,0.2189621196,0,17830.7999999999
"Titan Company Ltd.",1796.4,544.9,0,49912.4,35485.8,0,2853.5,-3302.9,655.9,0,49283.4,23938.3,8062.7,2630,341.05,323.65,23201.1,-0.05101891218,0,23201.1
"Tech Mahindra Ltd.",1356,1570,0,19747,13764,5195,2030,7293,4270,0,85862,46915,0,8673,537.65,530.7,24205,-0.01292662513,0,24205
"Reliance Capital Ltd.",3510,290,670,23530,6630,8230,330,9890,340,620,39040,8890,28460,500,583.8,390.25,26310,-0.3315347722,0,26310
"Jaiprakash Associates Ltd.",3198.8,7261.3,0,140173.8,65862.6,16248.6,1391.7,-4320,7735.5,0,138401,54798.1,35446.8,447.2,58.45,9.6,27328.7,-0.8357570573,0,27328.7
"Indusind Bank Ltd.",13091.1,734.3,0,83125.2,19257.3,30359.4,5225.9,-792.9,981.5,0,89878.1,22644.8,42613,7417.4,559.5,977.7,30713,0.7474530831,0,30713
"Canara Bank",65352.9,1896.9,0,437461.7,109984.8,0,8000,101140.1,2284.7,0,533456.1,125877.8,0,6250,399.7,276.6,40279.5,-0.3079809857,0,40279.5
"Sun Pharmaceutical Inds. Ltd.",580.3,858.2,0,21175.4,5086.7,384.9,1150,-1438.2,1019.4,0,45440.1,11424.5,24043.7,0,790.95,822.4,41434.8,0.03976231114,0,41434.8
"H C L Technologies Ltd.",309,4419.1,0,71792.7,37353.9,23.1,9245.5,940.1,4907,0,129090.6,44021.7,292.5,15557.4,777.55,998.25,51673.3,0.2838402675,0,51673.3
"Syndicate Bank",26999.8,1006.6,2018.8,194785.8,56040,8176.1,3611,0,1181.4,2015.9,193700.5,75190.6,60624.4,729.9,143.65,94.95,53133.8,-0.3390184476,0,53133.8
"Larsen & Toubro Ltd.",-4087.6,7201.5,0,384661.2,318351.3,7345.3,14055.1,2955.8,7753.3,0,411867.1,303607.8,30633.8,16865.3,1502.9,1791.25,53251.4,0.1918623994,0,53251.4
"Housing Development Finance Corpn. Ltd.",8204.6,235.9,0,67141.1,79703.5,35442.7,17276.8,23030.9,318.7,0,91082.8,93949.4,103061.2,19730,1068.4,1340.4,64622.5,0.2545862973,0,64622.5
"Axis Bank Ltd.",65010.4,3517.3,0,260997.1,84479.4,16200.2,27205.8,79452.2,3639.3,0,354859.3,104511.2,24577.7,34897.4,391.65,573.5,71818.4,0.4643176305,0,71818.4
"I C I C I Bank Ltd.",51882.1,4901.6,0,632132.3,279107,18714.1,29982,-7395.1,5759.7,0,683597.9,299362.5,2995.8,38395,294.25,302.4,77422.3,0.02769753611,0,77422.3
"Tata Consultancy Services Ltd.",215.6,8028.6,0,206593.9,57657,800.2,30293.1,708.6,10805.5,0,327674.7,71025.2,0,42104.9,2580.05,2510.75,107425.7,-0.02685994457,0,107425.7
"Bank Of Baroda",212303.6,3006.4,3659.8,909963.6,128830.1,3354.2,3505.1,454790.1,3450.2,3659.8,1384598.7,154100.5,20225.2,9562.3,174.37,177.5,222696.4,0.01795033549,0,222696.4
"Bank Of India",201246.1,1838.9,5282.3,612666.7,111499.7,14882.4,10991.5,65464.3,2278.7,5282.3,771862.7,162789.8,17676.4,0,274.5,163,227929.2,-0.4061930783,0,227929.2
"H D F C Bank Ltd.",63381.7,6516.7,0,399782.8,304396.9,7246.8,32757.6,123353.2,6716.1,0,754246.7,381612.3,14937.3,42694.1,834,1111.65,228187.9,0.3329136691,0.05467124685,228187.9
